country,weekly_rank,track_name,artist_name,popularity,duration_ms,release_year,artist_popularity,artist_followers
Global,30,BIRDS OF A FEATHER,Billie Eilish,95,210373,2024,93,120534292
Global,31,KUSURA BAKMA,BLOK3,87,157800,2025,80,5648903
Global,32,Posso Até Não Te Dar Flores,DJ Japa NK,92,158769,2025,81,365974
Global,33,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,89,227653,1980,77,5282371
Global,34,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,89,214333,2010,76,6687754
Global,35,Every Breath You Take,The Police,93,253920,1983,79,7719532
Global,36,Gabriela,KATSEYE,94,197226,2025,84,6381743
Global,37,CHANEL,Tyla,90,188059,2025,82,3865937
Global,38,Opalite,Taylor Swift,95,235355,2025,100,147876133
Global,39,Christmas (Baby Please Come Home),Darlene Love,86,166453,2020,75,70818
Global,40,DtMF,Bad Bunny,92,237117,2025,98,104661443
Global,41,WILDFLOWER,Billie Eilish,93,261466,2024,93,120534292
Global,42,La Perla,ROSALÍA,93,195546,2025,89,9105504
Global,43,Iris,The Goo Goo Dolls,93,289533,1998,78,3616086
Global,44,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,92,244684,2023,96,115284824
Global,45,Driving Home for Christmas - 2019 Remaster,Chris Rea,81,241626,1987,71,1155602
Global,46,BAILE INoLVIDABLE,Bad Bunny,92,367725,2025,98,104661443
Global,47,Merry Christmas Everyone,Shakin' Stevens,87,220160,1991,70,181768
Global,48,Sweater Weather,The Neighbourhood,93,240400,2013,86,22047738
Global,49,White Christmas - 1947 Version,Bing Crosby,88,183613,1945,83,611357
Global,50,Don’t Say You Love Me,Jin,87,180716,2025,80,9838250
