110,141,174,1
112,143,177,1
110,141,174,1
105,136,169,1
99,128,164,1
97,123,163,1
95,121,160,1
108,140,174,1
139,177,207,1
129,168,200,1
117,154,191,1
102,139,178,1
94,129,169,1
96,128,165,1
116,147,180,1
116,147,180,1
115,146,179,1
111,142,175,1
105,135,171,1
100,127,166,1
94,120,159,1
96,127,162,1
133,171,199,1
135,173,205,1
123,159,197,1
112,149,188,1
104,139,178,1
106,138,175,1
90,132,181,1
90,131,181,1
86,124,174,1
85,121,169,1
102,138,181,1
114,150,187,1
116,152,187,1
113,150,186,1
105,143,181,1
106,148,182,1
100,141,186,1
107,147,191,1
106,146,188,1
109,148,188,1
111,149,188,1
107,146,185,1
105,143,184,1
109,147,190,1
99,135,181,1
92,128,174,1
94,126,175,1
95,129,178,1
96,135,180,1
103,141,186,1
108,143,187,1
112,148,189,1
108,147,186,1
104,142,184,1
99,136,181,1
103,139,185,1
104,141,187,1
104,144,187,1
100,140,184,1
98,137,182,1
99,137,185,1
96,134,182,1
91,128,178,1
90,130,179,1
89,132,181,1
92,134,183,1
85,125,175,1
89,126,174,1
103,139,183,1
114,148,186,1
119,153,189,1
111,148,185,1
102,142,180,1
108,150,186,1
100,141,185,1
108,148,192,1
110,150,192,1
111,149,189,1
113,150,189,1
108,146,186,1
103,141,183,1
108,145,189,1
99,135,181,1
95,131,177,1
94,126,175,1
92,127,175,1
91,130,175,1
99,137,181,1
105,139,183,1
107,144,185,1
105,144,184,1
106,144,185,1
102,138,183,1
102,138,184,1
103,140,185,1
104,144,187,1
106,145,190,1
102,141,186,1
102,140,188,1
98,136,184,1
96,133,183,1
93,133,182,1
91,134,182,1
90,132,181,1
87,127,176,1
95,135,182,1
103,145,187,1
110,150,187,1
119,158,193,1
108,150,186,1
103,148,185,1
106,147,188,1
95,139,186,1
109,152,196,1
114,155,197,1
114,151,193,1
113,149,193,1
105,145,191,1
102,142,186,1
106,146,190,1
100,139,185,1
97,135,184,1
92,133,184,1
85,127,177,1
86,128,177,1
95,134,184,1
98,136,186,1
101,140,186,1
103,142,185,1
100,139,183,1
96,136,181,1
100,140,185,1
99,142,185,1
101,143,186,1
104,145,191,1
103,144,191,1
100,139,187,1
97,137,186,1
101,140,192,1
92,132,184,1
95,134,189,1
93,132,187,1
86,126,178,1
97,138,186,1
105,149,191,1
111,153,191,1
118,161,196,1
111,152,191,1
109,148,190,1
103,142,187,1
95,140,188,1
108,152,196,1
115,156,198,1
116,152,195,1
113,147,195,1
105,145,195,1
102,143,188,1
106,147,192,1
102,143,189,1
97,137,186,1
92,138,189,1
87,132,183,1
86,129,180,1
92,132,184,1
96,135,188,1
97,135,187,1
99,136,186,1
97,135,185,1
93,133,183,1
98,139,189,1
99,143,190,1
100,143,187,1
103,145,191,1
75,98,137,1
75,100,135,1
73,98,133,1
68,91,129,1
67,89,129,1
69,91,126,1
71,93,126,1
74,97,128,1
75,99,128,1
76,100,129,1
74,98,132,1
77,101,138,1
78,100,141,1
73,95,135,1
62,86,122,1
61,88,120,1
62,88,119,1
59,82,117,1
56,79,118,1
53,80,121,1
52,82,124,1
64,90,133,1
73,97,137,1
71,93,131,1
68,93,133,1
64,90,133,1
63,88,130,1
64,90,133,1
66,96,140,1
69,91,126,1
69,92,124,1
71,94,127,1
69,91,127,1
69,90,128,1
72,95,129,1
71,94,128,1
75,99,132,1
79,103,136,1
80,104,137,1
80,103,138,1
76,100,136,1
77,101,139,1
73,97,135,1
64,87,123,1
60,85,118,1
61,86,118,1
60,84,117,1
